omega,n,alpha,beta,Energy
0.0365373,6,0.0154736217,1.4561549357,0.238130009410991
0.0365373,7,0.0156537385,1.4261079927,0.238129439194004
0.0365373,8,0.0158004028,1.4008375764,0.238129193101464
0.036,2,0.0133916188,1.4947292752,0.235629526239163
0.036,3,0.0145760131,1.5475832352,0.235459648526664
0.036,4,0.0146800887,1.5499644994,0.235446151878423
0.036,5,0.0150163202,1.4923508287,0.235441467148315
0.036,6,0.0152342823,1.4550915105,0.235440004714101
0.036,7,0.0154115026,1.4253673284,0.235439437202931
0.036,8,0.015552585,1.401032337,0.235439192479908
0.033,2,0.0121752912,1.47059013,0.220466384903998
0.033,3,0.0133188927,1.5292988627,0.220294568356957
0.033,4,0.0133891743,1.5393784815,0.220281533424754
0.033,5,0.0137004856,1.4839960012,0.220276975772461
0.033,6,0.013902347,1.4484552735,0.220275550580181
0.033,7,0.0140658716,1.4200563807,0.220274999055706
0.033,8,0.0142069941,1.3943171037,0.220274761598902
0.03,2,0.0109677664,1.4439586039,0.205036067639745
0.03,3,0.0120729299,1.5078938674,0.204861550568097
0.03,4,0.0121056144,1.5274583273,0.204849017457786
0.03,5,0.0123903011,1.4748110728,0.204844602213893
0.03,6,0.0125753762,1.441268618,0.204843217942881
0.03,7,0.0127251972,1.4142471968,0.204842684055677
0.03,8,0.012863855,1.3874665139,0.204842453811405
0.027,2,0.0097707798,1.4140530978,0.189299679484604
0.027,3,0.0108393972,1.4825835184,0.189121441975594
0.027,4,0.0108306824,1.513767511,0.189109462522184
0.027,5,0.0110872203,1.4643978429,0.189105209102245
0.027,6,0.0112549539,1.4331586801,0.189103870282163
0.027,7,0.0113869601,1.4086452622,0.189103355899075
0.027,8,0.0115087723,1.3840986399,0.189103134193041
0.024,2,0.0085857947,1.3800583175,0.173207700640824
0.024,3,0.0096205569,1.4521080037,0.173024349230198
0.024,4,0.0095656442,1.4977867933,0.173012992983187
0.024,5,0.0097922384,1.4524186844,0.173008926551285
0.024,6,0.0099419464,1.4238948806,0.173007638931025
0.024,7,0.0100596677,1.4011479093,0.173007146566885
0.024,8,0.0101583999,1.3807653214,0.1730069343546
0.021,2,0.0074146915,1.3407986442,0.156695360785953
0.021,3,0.0084236233,1.4134767289,0.156504943890511
0.021,4,0.0083121049,1.4787622009,0.156494308188157
0.021,5,0.0085066276,1.4383859002,0.156490462228249
0.021,6,0.0086374861,1.4131390579,0.156489233292972
0.021,7,0.0087437893,1.3914402384,0.156488765971544
0.021,8,0.0088234823,1.374661233,0.156488563319711
